,Period,CA,Payment,Interest,RC,NewCA
0,1,100000.0,2348.5029047936064,500.0,1848.5029047936064,98151.49709520639
1,2,98151.49709520639,2348.5029047936064,490.75748547603195,1857.7454193175745,96293.75167588881
2,3,96293.75167588881,2348.5029047936064,481.46875837944407,1867.0341464141623,94426.71752947464
3,4,94426.71752947464,2348.5029047936064,472.1335876473732,1876.3693171462332,92550.3482123284
4,5,92550.3482123284,2348.5029047936064,462.751741061642,1885.7511637319644,90664.59704859644
5,6,90664.59704859644,2348.5029047936064,453.3229852429822,1895.1799195506242,88769.41712904582
6,7,88769.41712904582,2348.5029047936064,443.8470856452291,1904.6558191483773,86864.76130989744
7,8,86864.76130989744,2348.5029047936064,434.3238065494872,1914.1790982441191,84950.58221165332
8,9,84950.58221165332,2348.5029047936064,424.75291105826665,1923.7499937353398,83026.83221791798
9,10,83026.83221791798,2348.5029047936064,415.1341610895899,1933.3687437040164,81093.46347421396
10,11,81093.46347421396,2348.5029047936064,405.46731737106984,1943.0355874225365,79150.42788679143
11,12,79150.42788679143,2348.5029047936064,395.75213943395715,1952.7507653596492,77197.67712143177
12,13,77197.67712143177,2348.5029047936064,385.9883856071589,1962.5145191864476,75235.16260224533
13,14,75235.16260224533,2348.5029047936064,376.17581301122664,1972.3270917823797,73262.83551046294
14,15,73262.83551046294,2348.5029047936064,366.31417755231473,1982.1887272412916,71280.64678322166
15,16,71280.64678322166,2348.5029047936064,356.4032339161083,1992.099670877498,69288.54711234417
16,17,69288.54711234417,2348.5029047936064,346.44273556172084,2002.0601692318855,67286.48694311228
17,18,67286.48694311228,2348.5029047936064,336.4324347155614,2012.070470078045,65274.41647303423
18,19,65274.41647303423,2348.5029047936064,326.37208236517114,2022.1308224284353,63252.285650605794
19,20,63252.285650605794,2348.5029047936064,316.26142825302895,2032.2414765405774,61220.04417406522
20,21,61220.04417406522,2348.5029047936064,306.1002208703261,2042.4026839232802,59177.641490141934
21,22,59177.641490141934,2348.5029047936064,295.8882074507097,2052.6146973428968,57125.026792799035
22,23,57125.026792799035,2348.5029047936064,285.6251339639952,2062.877770829611,55062.149021969424
23,24,55062.149021969424,2348.5029047936064,275.3107451098471,2073.192159683759,52988.95686228567
24,25,52988.95686228567,2348.5029047936064,264.94478431142835,2083.558120482178,50905.39874180349
25,26,50905.39874180349,2348.5029047936064,254.52699370901746,2093.975911084589,48811.4228307189
26,27,48811.4228307189,2348.5029047936064,244.05711415359448,2104.445790640012,46706.977040078884
27,28,46706.977040078884,2348.5029047936064,233.53488520039443,2114.968019593212,44592.009020485675
28,29,44592.009020485675,2348.5029047936064,222.96004510242838,2125.542859691178,42466.466160794494
29,30,42466.466160794494,2348.5029047936064,212.33233080397247,2136.170573989634,40330.29558680486
30,31,40330.29558680486,2348.5029047936064,201.6514779340243,2146.8514268595823,38183.44415994528
31,32,38183.44415994528,2348.5029047936064,190.91722079972638,2157.58568399388,36025.8584759514
32,33,36025.8584759514,2348.5029047936064,180.129292379757,2168.3736124138495,33857.484863537546
33,34,33857.484863537546,2348.5029047936064,169.28742431768774,2179.2154804759184,31678.269383061626
34,35,31678.269383061626,2348.5029047936064,158.39134691530813,2190.1115578782983,29488.157825183327
35,36,29488.157825183327,2348.5029047936064,147.44078912591664,2201.06211566769,27287.095709515637
36,37,27287.095709515637,2348.5029047936064,136.43547854757819,2212.0674262460284,25075.02828326961
37,38,25075.02828326961,2348.5029047936064,125.37514141634806,2223.1277633772584,22851.90051989235
38,39,22851.90051989235,2348.5029047936064,114.25950259946175,2234.2434021941444,20617.657117698207
39,40,20617.657117698207,2348.5029047936064,103.08828558849103,2245.4146192051153,18372.24249849309
40,41,18372.24249849309,2348.5029047936064,91.86121249246546,2256.641692301141,16115.60080619195
41,42,16115.60080619195,2348.5029047936064,80.57800403095975,2267.9249007626468,13847.675905429303
42,43,13847.675905429303,2348.5029047936064,69.23837952714652,2279.2645252664597,11568.411380162845
43,44,11568.411380162845,2348.5029047936064,57.84205690081422,2290.660847892792,9277.750532270053
44,45,9277.750532270053,2348.5029047936064,46.38875266135027,2302.114152132256,6975.636380137797
45,46,6975.636380137797,2348.5029047936064,34.878181900688986,2313.6247228929174,4662.011657244879
46,47,4662.011657244879,2348.5029047936064,23.310058286224393,2325.192846507382,2336.8188107374967
47,48,2336.8188107374967,2348.5029047936064,11.684094053687485,2336.8188107399187,-2.421984390821308e-09
