Period,CA,Payment,Interest,RC,CR
1,1000000.0,16661.926019543833,2000.0,14661.926019543833,985338.0739804562
2,985338.0739804562,16661.926019543833,1970.6761479609124,14691.24987158292,970646.8241088733
3,970646.8241088733,16661.926019543833,1941.2936482177465,14720.632371326086,955926.1917375472
4,955926.1917375472,16661.926019543833,1911.8523834750945,14750.073636068739,941176.1181014784
5,941176.1181014784,16661.926019543833,1882.3522362029569,14779.573783340877,926396.5443181376
6,926396.5443181376,16661.926019543833,1852.7930886362751,14809.132930907557,911587.41138723
7,911587.41138723,16661.926019543833,1823.1748227744602,14838.751196769372,896748.6601904606
8,896748.6601904606,16661.926019543833,1793.4973203809213,14868.428699162912,881880.2314912977
9,881880.2314912977,16661.926019543833,1763.7604629825955,14898.165556561238,866982.0659347365
10,866982.0659347365,16661.926019543833,1733.964131869473,14927.961887674359,852054.1040470621
11,852054.1040470621,16661.926019543833,1704.1082080941242,14957.81781144971,837096.2862356124
12,837096.2862356124,16661.926019543833,1674.1925724712248,14987.733447072607,822108.5527885398
13,822108.5527885398,16661.926019543833,1644.2171055770796,15017.708913966753,807090.843874573
14,807090.843874573,16661.926019543833,1614.181687749146,15047.744331794687,792043.0995427783
15,792043.0995427783,16661.926019543833,1584.0861990855567,15077.839820458275,776965.25972232
16,776965.25972232,16661.926019543833,1553.9305194446401,15107.995500099192,761857.2642222209
17,761857.2642222209,16661.926019543833,1523.7145284444418,15138.211491099391,746719.0527311214
18,746719.0527311214,16661.926019543833,1493.438105462243,15168.48791408159,731550.5648170399
19,731550.5648170399,16661.926019543833,1463.1011296340798,15198.824889909753,716351.7399271302
20,716351.7399271302,16661.926019543833,1432.7034798542604,15229.222539689572,701122.5173874405
21,701122.5173874405,16661.926019543833,1402.245034774881,15259.680984768951,685862.8364026716
22,685862.8364026716,16661.926019543833,1371.7256728053433,15290.20034673849,670572.6360559332
23,670572.6360559332,16661.926019543833,1341.1452721118665,15320.780747431967,655251.8553085013
24,655251.8553085013,16661.926019543833,1310.5037106170025,15351.42230892683,639900.4329995745
25,639900.4329995745,16661.926019543833,1279.800865999149,15382.125153544685,624518.3078460298
26,624518.3078460298,16661.926019543833,1249.0366156920595,15412.889403851774,609105.4184421779
27,609105.4184421779,16661.926019543833,1218.2108368843558,15443.715182659476,593661.7032595185
28,593661.7032595185,16661.926019543833,1187.323406519037,15474.602613024796,578187.1006464937
29,578187.1006464937,16661.926019543833,1156.3742012929874,15505.551818250846,562681.5488282429
30,562681.5488282429,16661.926019543833,1125.363097656486,15536.562921887347,547144.9859063555
31,547144.9859063555,16661.926019543833,1094.2899718127112,15567.636047731121,531577.3498586244
32,531577.3498586244,16661.926019543833,1063.1546997172488,15598.771319826585,515978.5785387978
33,515978.5785387978,16661.926019543833,1031.9571570775956,15629.968862466238,500348.6096763316
34,500348.6096763316,16661.926019543833,1000.6972193526632,15661.22880019117,484687.3808761404
35,484687.3808761404,16661.926019543833,969.3747617522807,15692.551257791552,468994.8296183488
36,468994.8296183488,16661.926019543833,937.9896592366977,15723.936360307136,453270.89325804164
37,453270.89325804164,16661.926019543833,906.5417865160833,15755.38423302775,437515.5090250139
38,437515.5090250139,16661.926019543833,875.0310180500278,15786.895001493805,421728.6140235201
39,421728.6140235201,16661.926019543833,843.4572280470402,15818.468791496793,405910.1452320233
40,405910.1452320233,16661.926019543833,811.8202904640467,15850.105729079785,390060.0395029435
41,390060.0395029435,16661.926019543833,780.1200790058871,15881.805940537946,374178.23356240557
42,374178.23356240557,16661.926019543833,748.3564671248112,15913.569552419021,358264.66400998656
43,358264.66400998656,16661.926019543833,716.5293280199731,15945.39669152386,342319.2673184627
44,342319.2673184627,16661.926019543833,684.6385346369254,15977.287484906907,326341.9798335558
45,326341.9798335558,16661.926019543833,652.6839596671116,16009.24205987672,310332.7377736791
46,310332.7377736791,16661.926019543833,620.6654755473581,16041.260543996475,294291.4772296826
47,294291.4772296826,16661.926019543833,588.5829544593653,16073.343065084468,278218.13416459813
48,278218.13416459813,16661.926019543833,556.4362683291963,16105.489751214636,262112.6444133835
49,262112.6444133835,16661.926019543833,524.225288826767,16137.700730717066,245974.94368266643
50,245974.94368266643,16661.926019543833,491.94988736533287,16169.9761321785,229804.96755048793
51,229804.96755048793,16661.926019543833,459.60993510097586,16202.316084442857,213602.65146604506
52,213602.65146604506,16661.926019543833,427.20530293209015,16234.720716611742,197367.93074943332
53,197367.93074943332,16661.926019543833,394.73586149886665,16267.190158044967,181100.74059138834
54,181100.74059138834,16661.926019543833,362.2014811827767,16299.724538361055,164801.0160530273
55,164801.0160530273,16661.926019543833,329.6020321060546,16332.323987437778,148468.6920655895
56,148468.6920655895,16661.926019543833,296.93738413117904,16364.988635412654,132103.70343017686
57,132103.70343017686,16661.926019543833,264.20740686035373,16397.71861268348,115705.98481749339
58,115705.98481749339,16661.926019543833,231.41196963498678,16430.514049908845,99275.47076758454
59,99275.47076758454,16661.926019543833,198.5509415351691,16463.375078008663,82812.09568957589
60,82812.09568957589,16661.926019543833,165.62419137915177,16496.30182816468,66315.7938614112
61,66315.7938614112,16661.926019543833,132.63158772282242,16529.29443182101,49786.4994295902
62,49786.4994295902,16661.926019543833,99.5729988591804,16562.35302068465,33224.14640890555
63,33224.14640890555,16661.926019543833,66.44829281781111,16595.47772672602,16628.66868217953
64,16628.66868217953,16661.926019543833,33.25733736435906,16628.668682179472,5.820766091346741e-11
